,Cell type,X location,Y location,Z location
351,Pyr in SP layer,168,832,314
352,Pyr in SP layer,152,336,290
353,Pyr in SP layer,200,264,314
354,Pyr in SP layer,120,208,298
355,Pyr in SP layer,264,440,298
356,Pyr in SP layer,400,456,314
357,Pyr in SP layer,192,144,298
358,Pyr in SP layer,232,312,290
359,Pyr in SP layer,384,440,298
360,Pyr in SP layer,8,224,298
361,Pyr in SP layer,184,776,306
362,Pyr in SP layer,392,256,314
363,Pyr in SP layer,224,40,322
364,Pyr in SP layer,272,712,322
365,Pyr in SP layer,392,576,298
366,Pyr in SP layer,112,896,306
367,Pyr in SP layer,104,424,298
368,Pyr in SP layer,328,912,290
369,Pyr in SP layer,392,800,306
370,Pyr in SP layer,344,336,290
371,Pyr in SP layer,56,624,290
372,Pyr in SP layer,176,712,322
373,Pyr in SP layer,80,752,322
374,Pyr in SP layer,400,144,314
375,Pyr in SP layer,104,504,298
376,Pyr in SP layer,56,48,306
377,Pyr in SP layer,336,400,322
378,Pyr in SP layer,264,848,314
379,Pyr in SP layer,280,936,306
380,Pyr in SP layer,328,112,322
381,Pyr in SP layer,176,896,298
382,Pyr in SP layer,192,248,314
383,Pyr in SP layer,152,976,290
384,Pyr in SP layer,168,864,322
385,Pyr in SP layer,224,312,322
386,Pyr in SP layer,16,288,306
387,Pyr in SP layer,48,96,298
388,Pyr in SP layer,328,40,290
389,Pyr in SP layer,200,64,306
390,Pyr in SP layer,64,176,314
391,Pyr in SP layer,32,736,298
392,Pyr in SP layer,80,472,314
393,Pyr in SP layer,80,352,306
394,Pyr in SP layer,72,96,290
395,Pyr in SP layer,312,64,322
396,Pyr in SP layer,216,368,306
397,Pyr in SP layer,240,456,306
398,Pyr in SP layer,88,928,322
399,Pyr in SP layer,328,568,306
400,Pyr in SP layer,368,168,322
401,Pyr in SP layer,264,16,298
402,Pyr in SP layer,120,424,306
403,Pyr in SP layer,152,928,322
404,Pyr in SP layer,312,240,290
405,Pyr in SP layer,184,744,322
406,Pyr in SP layer,400,848,322
407,Pyr in SP layer,192,304,298
408,Pyr in SP layer,392,224,314
409,Pyr in SP layer,352,456,314
410,Pyr in SP layer,248,248,298
411,Pyr in SP layer,0,88,290
412,Pyr in SP layer,208,728,322
413,Pyr in SP layer,224,624,298
414,Pyr in SP layer,280,168,322
415,Pyr in SP layer,104,712,306
416,Pyr in SP layer,376,720,290
417,Pyr in SP layer,104,864,290
418,Pyr in SP layer,144,640,298
419,Pyr in SP layer,24,760,298
420,Pyr in SP layer,344,152,322
421,Pyr in SP layer,264,632,306
422,Pyr in SP layer,232,320,290
423,Pyr in SP layer,320,496,314
424,Pyr in SP layer,176,984,290
425,Pyr in SP layer,56,504,290
426,Pyr in SP layer,224,872,306
427,Pyr in SP layer,24,632,298
428,Pyr in SP layer,192,304,322
429,Pyr in SP layer,296,24,306
430,Pyr in SP layer,256,160,314
431,Pyr in SP layer,224,400,298
432,Pyr in SP layer,392,40,290
433,Pyr in SP layer,96,336,306
434,Pyr in SP layer,72,256,290
435,Pyr in SP layer,160,272,306
436,Pyr in SP layer,40,936,322
437,Pyr in SP layer,280,768,322
438,Pyr in SP layer,56,784,306
439,Pyr in SP layer,136,760,306
440,Pyr in SP layer,344,480,322
441,Pyr in SP layer,88,96,290
442,Pyr in SP layer,256,744,322
443,Pyr in SP layer,320,216,306
444,Pyr in SP layer,256,784,322
445,Pyr in SP layer,88,208,322
446,Pyr in SP layer,104,832,298
447,Pyr in SP layer,264,984,290
448,Pyr in SP layer,248,24,322
449,Pyr in SP layer,360,992,322
450,Pyr in SP layer,96,384,306
451,Pyr in SP layer,32,592,322
452,Pyr in SP layer,400,624,306
453,Pyr in SP layer,96,736,290
454,Pyr in SP layer,328,0,306
455,Pyr in SP layer,336,912,322
456,Pyr in SP layer,16,32,298
457,Pyr in SP layer,160,672,290
458,Pyr in SP layer,80,264,322
459,Pyr in SP layer,152,664,298
460,Pyr in SP layer,72,544,290
461,Pyr in SP layer,0,944,322
462,Pyr in SP layer,144,808,314
463,Pyr in SP layer,0,584,306
464,Pyr in SP layer,384,592,306
465,Pyr in SP layer,232,712,306
466,Pyr in SP layer,136,216,322
467,Pyr in SP layer,192,976,298
468,Pyr in SP layer,16,704,322
469,Pyr in SP layer,88,288,290
470,Pyr in SP layer,240,520,290
471,Pyr in SP layer,128,64,290
472,Pyr in SP layer,0,696,306
473,Pyr in SP layer,400,752,290
474,Pyr in SP layer,384,528,322
475,Pyr in SP layer,368,544,306
476,Pyr in SP layer,88,824,290
477,Pyr in SP layer,144,968,314
478,Pyr in SP layer,136,632,322
479,Pyr in SP layer,392,864,290
480,Pyr in SP layer,176,56,322
481,Pyr in SP layer,248,816,298
482,Pyr in SP layer,88,96,322
483,Pyr in SP layer,376,536,306
484,Pyr in SP layer,104,208,322
485,Pyr in SP layer,216,8,314
486,Pyr in SP layer,248,664,290
487,Pyr in SP layer,264,848,298
488,Pyr in SP layer,216,832,290
489,Pyr in SP layer,112,96,298
490,Pyr in SP layer,72,664,306
491,Pyr in SP layer,336,216,298
492,Pyr in SP layer,224,856,298
493,Pyr in SP layer,288,696,306
494,Pyr in SP layer,272,144,298
495,Pyr in SP layer,40,184,322
496,Pyr in SP layer,64,8,306
497,Pyr in SP layer,144,512,322
498,Pyr in SP layer,392,464,290
499,Pyr in SP layer,264,816,298
500,Pyr in SP layer,392,816,290
501,Pyr in SP layer,152,184,298
502,Pyr in SP layer,304,272,314
503,Pyr in SP layer,232,432,314
504,Pyr in SP layer,104,416,322
505,Pyr in SP layer,80,728,290
506,Pyr in SP layer,232,264,322
507,Pyr in SP layer,136,984,306
508,Pyr in SP layer,280,960,314
509,Pyr in SP layer,336,896,314
510,Pyr in SP layer,80,552,290
511,Pyr in SP layer,312,808,314
512,Pyr in SP layer,104,840,314
513,Pyr in SP layer,288,392,314
514,Pyr in SP layer,8,808,306
515,Pyr in SP layer,280,680,314
516,Pyr in SP layer,48,1000,298
517,Pyr in SP layer,240,344,298
518,Pyr in SP layer,224,744,314
519,Pyr in SP layer,368,952,322
520,Pyr in SP layer,184,784,306
521,Pyr in SP layer,96,528,306
522,Pyr in SP layer,144,792,306
523,Pyr in SP layer,160,520,298
524,Pyr in SP layer,160,352,314
525,Pyr in SP layer,240,872,298
526,Pyr in SP layer,8,248,306
527,Pyr in SP layer,72,760,314
528,Pyr in SP layer,96,640,322
529,Pyr in SP layer,360,216,290
530,Pyr in SP layer,184,728,314
531,Pyr in SP layer,128,576,314
532,Pyr in SP layer,352,704,298
533,Pyr in SP layer,112,600,314
534,Pyr in SP layer,336,520,298
535,Pyr in SP layer,304,848,306
536,Pyr in SP layer,336,80,290
537,Pyr in SP layer,232,536,298
538,Pyr in SP layer,320,952,298
539,Pyr in SP layer,80,792,322
540,Pyr in SP layer,120,376,290
541,Pyr in SP layer,200,168,290
542,Pyr in SP layer,360,152,322
543,Pyr in SP layer,80,440,314
544,Pyr in SP layer,232,496,314
545,Pyr in SP layer,368,760,306
546,Pyr in SP layer,136,912,314
547,Pyr in SP layer,112,736,290
548,Pyr in SP layer,376,224,322
549,Pyr in SP layer,128,952,298
550,Pyr in SP layer,128,296,298
551,Pyr in SP layer,296,848,290
552,Pyr in SP layer,32,584,306
553,Pyr in SP layer,288,664,314
554,Pyr in SP layer,168,944,290
555,Pyr in SP layer,32,616,322
556,Pyr in SP layer,352,952,306
557,Pyr in SP layer,32,824,290
558,Pyr in SP layer,304,784,314
559,Pyr in SP layer,24,72,290
560,Pyr in SP layer,352,896,322
561,Pyr in SP layer,360,560,298
562,Pyr in SP layer,0,992,298
563,Pyr in SP layer,384,336,298
564,Pyr in SP layer,400,80,290
565,Pyr in SP layer,104,880,306
566,Pyr in SP layer,88,136,306
567,Pyr in SP layer,16,456,314
568,Pyr in SP layer,208,496,322
569,Pyr in SP layer,56,528,322
570,Pyr in SP layer,392,0,314
571,Pyr in SP layer,32,1000,314
572,Pyr in SP layer,320,936,290
573,Pyr in SP layer,328,272,290
574,Pyr in SP layer,224,288,290
575,Pyr in SP layer,128,696,314
576,Pyr in SP layer,128,712,322
577,Pyr in SP layer,336,680,322
578,Pyr in SP layer,176,696,322
579,Pyr in SP layer,376,320,298
580,Pyr in SP layer,64,56,322
581,Pyr in SP layer,8,272,322
582,Pyr in SP layer,24,120,298
583,Pyr in SP layer,72,16,306
584,Pyr in SP layer,240,256,322
585,Pyr in SP layer,280,288,306
586,Pyr in SP layer,272,408,290
587,Pyr in SP layer,344,384,322
588,Pyr in SP layer,256,296,298
589,Pyr in SP layer,280,432,306
590,Pyr in SP layer,192,968,290
591,Pyr in SP layer,272,520,298
592,Pyr in SP layer,88,96,306
593,Pyr in SP layer,144,952,306
594,Pyr in SP layer,256,624,298
595,Pyr in SP layer,144,184,290
596,Pyr in SP layer,344,56,306
597,Pyr in SP layer,344,88,306
598,Pyr in SP layer,280,352,298
599,Pyr in SP layer,272,88,298
600,Pyr in SP layer,48,792,298
601,Pyr in SP layer,64,304,290
602,Pyr in SP layer,256,592,290
603,Pyr in SP layer,240,136,298
604,Pyr in SP layer,32,648,290
605,Pyr in SP layer,80,264,290
606,Pyr in SP layer,80,952,298
607,Pyr in SP layer,376,568,322
608,Pyr in SP layer,232,848,322
609,Pyr in SP layer,336,368,290
610,Pyr in SP layer,120,840,314
611,Pyr in SP layer,384,288,306
612,Pyr in SP layer,144,928,290
613,Pyr in SP layer,320,520,298
614,Pyr in SP layer,232,160,322
615,Pyr in SP layer,136,520,290
616,Pyr in SP layer,96,712,314
617,Pyr in SP layer,336,336,322
618,Pyr in SP layer,344,984,306
619,Pyr in SP layer,112,184,298
620,Pyr in SP layer,184,984,298
621,Pyr in SP layer,192,280,306
622,Pyr in SP layer,144,440,322
623,Pyr in SP layer,224,632,306
624,Pyr in SP layer,352,992,306
625,Pyr in SP layer,40,504,298
626,Pyr in SP layer,352,328,322
627,Pyr in SP layer,80,464,290
628,Pyr in SP layer,96,408,306
